,raw text,token text,category
0,Bos aku seorang founder produk,"['bos', 'aku', 'orang', 'asas', 'produk']",non-deppressive
1, Syarikatnya besar juga,"['syarikat', 'besar', 'juga']",non-deppressive
2, Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan,"['bos', 'aku', 'ini', 'kira', 'orang', 'yang', 'sangat', 'jaya', 'sebab', 'ada', 'banyak', 'syarikat', 'yang', 'dia', 'urus']",non-deppressive
3,Bos aku ni kategori Islamik sikit,"['bos', 'aku', 'ini', 'kategori', 'islamik', 'sikit']",non-deppressive
4, Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja,"['tiap', 'hari', 'kami', 'semua', 'terap', 'deng', 'ajar', 'islam', 'lalu', 'aktiviti', 'hari', 'belum', 'mula', 'kerja']",non-deppressive
5," Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar","['kami', 'baca', 'doa', 'baca', 'surah', 'ajar', 'solat', 'dhuha', 'ajar', 'solat', 'taubat', 'solat', 'hajat', 'dan', 'pelbagai', 'lagi', 'ilmu', 'agama', 'yang', 'silih', 'ganti', 'ustaz', 'dan', 'ustazah', 'jemput', 'untuk', 'datang', 'ajar']",non-deppressive
6,Bos aku dipandang tinggi oleh masyarakat,"['bos', 'aku', 'pandang', 'tinggi', 'oleh', 'masyarakat']",non-deppressive
7, Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat,"['ramai', 'asas', 'lain', 'asa', 'cemburu', 'deng', 'jaya', 'bos', 'aku', 'teraju', 'syarikat']",non-deppressive
8, Syarikat kami berkembang maju dan terkenal di seluruh Asia,"['syarikat', 'kami', 'kembang', 'maju', 'dan', 'kenal', 'di', 'seluruh', 'asia']",non-deppressive
9," Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat","['nama', 'bos', 'dan', 'syarikat', 'kami', 'sering', 'sebut', 'sebut', 'bagai', 'buah', 'jenama', 'baik', 'bu', 'sahaja', 'dari', 'segi', 'hasil', 'produk', 'ma', 'punya', 'pasu', 'baik', 'dalam', 'urus', 'syarikat']",non-deppressive
10," Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat","['tetapi', 'kalau', 'orang', 'luar', 'tahu', 'apa', 'yang', 'laku', 'di', 'dalam', 'syarikat']",non-deppressive
11, Pasti mereka akan terkejut,"['pasti', 'mereka', 'akan', 'kejut']",non-deppressive
12," Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata","['sebab', 'tiap', 'jaya', 'dan', 'rekod', 'yang', 'canang', 'kepada', 'orang', 'luar', 'semua', 'ada', 'dusta', 'semata']",non-deppressive
13, Tiada yang benar langsung,"['tiada', 'yang', 'benar', 'langsung']",non-deppressive
14, Aku jadi staf pun malu sebenarnya,"['aku', 'jadi', 'staf', 'pun', 'malu', 'benar']",non-deppressive
15, Malu giler kalau orang tahu,"['malu', 'gi', 'kalau', 'orang', 'tahu']",non-deppressive
16,Bos aku ni sangat sibuk,"['bos', 'aku', 'ini', 'sangat', 'sibuk']",non-deppressive
17," Bagi dia, hidup perlu sentiasa bekerja","['bagi', 'dia', 'hidup', 'perlu', 'sentiasa', 'kerja']",risk factor
18, Tiada rehat,"['tiada', 'rehat']",non-deppressive
19, Itulah yang diterapkan kepada kami,"['itu', 'yang', 'terap', 'kepada', 'kami']",non-deppressive
20, Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,"['dia', 'cukup', 'pantang', 'kalau', 'staf', 'tidak', 'jawab', 'telefon', 'walau', 'masa', 'itu', 'ada', 'waktu', 'tidur']",risk factor
21," Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari","['bagi', 'dia', 'waktu', 'tidur', 'ha', 'cukup', 'dua', 'tiga', 'jam', 'sahaja', 'tiap', 'hari']",risk factor
