raw text,token text,category
Bos aku seorang founder produk,"['bos', 'aku', 'orang', 'asas', 'produk']",non-deppressive
 Syarikatnya besar juga,"['syarikat', 'besar', 'juga']",non-deppressive
 Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan,"['bos', 'aku', 'ini', 'kira', 'orang', 'yang', 'sangat', 'jaya', 'sebab', 'ada', 'banyak', 'syarikat', 'yang', 'dia', 'urus']",non-deppressive
Bos aku ni kategori Islamik sikit,"['bos', 'aku', 'ini', 'kategori', 'islamik', 'sikit']",non-deppressive
 Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja,"['tiap', 'hari', 'kami', 'semua', 'terap', 'deng', 'ajar', 'islam', 'lalu', 'aktiviti', 'hari', 'belum', 'mula', 'kerja']",non-deppressive
" Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar","['kami', 'baca', 'doa', 'baca', 'surah', 'ajar', 'solat', 'dhuha', 'ajar', 'solat', 'taubat', 'solat', 'hajat', 'dan', 'pelbagai', 'lagi', 'ilmu', 'agama', 'yang', 'silih', 'ganti', 'ustaz', 'dan', 'ustazah', 'jemput', 'untuk', 'datang', 'ajar']",non-deppressive
Bos aku dipandang tinggi oleh masyarakat,"['bos', 'aku', 'pandang', 'tinggi', 'oleh', 'masyarakat']",non-deppressive
 Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat,"['ramai', 'asas', 'lain', 'asa', 'cemburu', 'deng', 'jaya', 'bos', 'aku', 'teraju', 'syarikat']",non-deppressive
 Syarikat kami berkembang maju dan terkenal di seluruh Asia,"['syarikat', 'kami', 'kembang', 'maju', 'dan', 'kenal', 'di', 'seluruh', 'asia']",non-deppressive
" Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat","['nama', 'bos', 'dan', 'syarikat', 'kami', 'sering', 'sebut', 'sebut', 'bagai', 'buah', 'jenama', 'baik', 'bu', 'sahaja', 'dari', 'segi', 'hasil', 'produk', 'ma', 'punya', 'pasu', 'baik', 'dalam', 'urus', 'syarikat']",non-deppressive
" Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat","['tetapi', 'kalau', 'orang', 'luar', 'tahu', 'apa', 'yang', 'laku', 'di', 'dalam', 'syarikat']",non-deppressive
 Pasti mereka akan terkejut,"['pasti', 'mereka', 'akan', 'kejut']",non-deppressive
" Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata","['sebab', 'tiap', 'jaya', 'dan', 'rekod', 'yang', 'canang', 'kepada', 'orang', 'luar', 'semua', 'ada', 'dusta', 'semata']",non-deppressive
 Tiada yang benar langsung,"['tiada', 'yang', 'benar', 'langsung']",non-deppressive
 Aku jadi staf pun malu sebenarnya,"['aku', 'jadi', 'staf', 'pun', 'malu', 'benar']",non-deppressive
 Malu giler kalau orang tahu,"['malu', 'gi', 'kalau', 'orang', 'tahu']",non-deppressive
Bos aku ni sangat sibuk,"['bos', 'aku', 'ini', 'sangat', 'sibuk']",non-deppressive
" Bagi dia, hidup perlu sentiasa bekerja","['bagi', 'dia', 'hidup', 'perlu', 'sentiasa', 'kerja']",risk factor
 Tiada rehat,"['tiada', 'rehat']",non-deppressive
 Itulah yang diterapkan kepada kami,"['itu', 'yang', 'terap', 'kepada', 'kami']",non-deppressive
 Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,"['dia', 'cukup', 'pantang', 'kalau', 'staf', 'tidak', 'jawab', 'telefon', 'walau', 'masa', 'itu', 'ada', 'waktu', 'tidur']",risk factor
" Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari","['bagi', 'dia', 'waktu', 'tidur', 'ha', 'cukup', 'dua', 'tiga', 'jam', 'sahaja', 'tiap', 'hari']",risk factor
Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang,"['dia', 'akan', 'lenting', 'kalau', 'staf', 'balik', 'rumah', 'lepas', 'waktu', 'kerja', 'jam', 'enam', 'petang']",risk factor
 Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad,"['dia', 'juga', 'akan', 'sentiasa', 'panggil', 'dan', 'whatsapp', 'staf', 'masa', 'hari', 'cuti', 'minggu', 'sabtu', 'dan', 'ahad']",risk factor
 Apatah lagi semasa Public Holiday,"['apa', 'lagi', 'masa', 'awam', 'cut']",non-deppressive
" Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report","['itu', 'ada', 'masa', 'untuk', 'kerja', 'panggil', 'mesyuarat', 'dan', 'suruh', 'datang', 'ke', 'rumah', 'hantar', 'lapor']",risk factor
 Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family,"['bos', 'akan', 'membebel', 'kalau', 'staf', 'nak', 'ambil', 'tahun', 'pergi', 'mahupun', 'pergi', 'cut', 'sama', 'keluarga']",risk factor
" Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya","['tiap', 'kali', 'dia', 'membebel', 'aku', 'akan', 'rasa', 'aku', 'ini', 'orang', 'yang', 'ka', 'yang', 'te', 'memmuflis', 'syarikat', 'sahaja', 'gaya']",symptom
