,raw text,train text,category
0,Bos aku seorang founder produk,"[('bos', 'NOUN'), ('aku', 'DET'), ('orang', 'DET'), ('asas', 'NOUN'), ('produk', 'NOUN')]",non-deppressive
1, Syarikatnya besar juga,"[('syarikat', 'NOUN'), ('besar', 'ADJ'), ('juga', 'ADV')]",non-deppressive
2, Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan,"[('bos', 'NOUN'), ('aku', 'PRON'), ('ini', 'DET'), ('kira', 'ADV'), ('orang', 'DET'), ('yang', 'PRON'), ('sangat', 'ADV'), ('jaya', 'VERB'), ('sebab', 'SCONJ'), ('ada', 'VERB'), ('banyak', 'DET'), ('syarikat', 'NOUN'), ('yang', 'PRON'), ('dia', 'PRON'), ('urus', 'VERB')]",non-deppressive
3,Bos aku ni kategori Islamik sikit,"[('bos', 'NOUN'), ('aku', 'PRON'), ('ini', 'DET'), ('kategori', 'NOUN'), ('islamik', 'NOUN'), ('sikit', 'ADV')]",non-deppressive
4, Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja,"[('tiap', 'DET'), ('hari', 'NOUN'), ('kami', 'PRON'), ('semua', 'DET'), ('terap', 'VERB'), ('deng', 'NOUN'), ('ajar', 'NOUN'), ('islam', 'NOUN'), ('lalu', 'ADP'), ('aktiviti', 'NOUN'), ('hari', 'NOUN'), ('belum', 'ADP'), ('mula', 'NOUN'), ('kerja', 'NOUN')]",non-deppressive
5," Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar","[('kami', 'PRON'), ('baca', 'VERB'), ('doa', 'NOUN'), ('baca', 'VERB'), ('surah', 'NOUN'), ('ajar', 'VERB'), ('solat', 'NOUN'), ('dhuha', 'NOUN'), ('ajar', 'VERB'), ('solat', 'NOUN'), ('taubat', 'NOUN'), ('solat', 'NOUN'), ('hajat', 'NOUN'), ('dan', 'CCONJ'), ('pelbagai', 'DET'), ('lagi', 'ADV'), ('ilmu', 'NOUN'), ('agama', 'NOUN'), ('yang', 'PRON'), ('silih', 'VERB'), ('ganti', 'NOUN'), ('ustaz', 'PROPN'), ('dan', 'CCONJ'), ('ustazah', 'PROPN'), ('jemput', 'VERB'), ('untuk', 'ADP'), ('datang', 'VERB'), ('ajar', 'VERB')]",non-deppressive
6,Bos aku dipandang tinggi oleh masyarakat,"[('bos', 'NOUN'), ('aku', 'PRON'), ('pandang', 'VERB'), ('tinggi', 'ADJ'), ('oleh', 'ADP'), ('masyarakat', 'NOUN')]",non-deppressive
7, Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat,"[('ramai', 'DET'), ('asas', 'NOUN'), ('lain', 'ADJ'), ('asa', 'VERB'), ('cemburu', 'ADJ'), ('deng', 'DET'), ('jaya', 'NOUN'), ('bos', 'NOUN'), ('aku', 'PRON'), ('teraju', 'VERB'), ('syarikat', 'NOUN')]",non-deppressive
8, Syarikat kami berkembang maju dan terkenal di seluruh Asia,"[('syarikat', 'NOUN'), ('kami', 'PRON'), ('kembang', 'VERB'), ('maju', 'VERB'), ('dan', 'CCONJ'), ('kenal', 'NOUN'), ('di', 'ADP'), ('seluruh', 'DET'), ('asia', 'NOUN')]",non-deppressive
9," Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat","[('nama', 'NOUN'), ('bos', 'NOUN'), ('dan', 'CCONJ'), ('syarikat', 'NOUN'), ('kami', 'PRON'), ('sering', 'ADV'), ('sebut', 'VERB'), ('sebut', 'VERB'), ('bagai', 'ADP'), ('buah', 'DET'), ('jenama', 'NOUN'), ('baik', 'ADJ'), ('bu', 'NOUN'), ('sahaja', 'NOUN'), ('dari', 'ADP'), ('segi', 'NOUN'), ('hasil', 'NOUN'), ('produk', 'NOUN'), ('ma', 'PROPN'), ('punya', 'VERB'), ('pasu', 'NOUN'), ('baik', 'ADJ'), ('dalam', 'ADP'), ('urus', 'VERB'), ('syarikat', 'NOUN')]",non-deppressive
