,raw text,token text,category
0,Bos aku seorang founder produk,"['bos', 'asas', 'produk']",statement
1, Syarikatnya besar juga,['syarikat'],statement
2, Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan,"['bos', 'ni', 'jaya', 'syarikat', 'urus']",statement
3,Bos aku ni kategori Islamik sikit,"['bos', 'ni', 'kategori', 'islamik', 'sikit']",statement
4, Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja,"['terap', 'ajar', 'islam', 'aktiviti', 'hari', 'jalan', 'kerja']",statement
5," Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar","['baca', 'doa', 'baca', 'surah', 'ajar', 'solat hari raya', 'dhuha', 'ajar', 'solat hari raya', 'taubat', 'solat hari raya', 'hajat', 'pelbagai', 'ilmu', 'agama', 'silih', 'ganti', 'ustaz', 'ustazah', 'jemput', 'ajar']",statement
6,Bos aku dipandang tinggi oleh masyarakat,"['bos', 'pandang', 'masyarakat']",statement
7, Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat,"['ramai', 'asas', 'kaedah', 'cemburu', 'jaya', 'bos', 'teraju', 'syarikat']",statement
8, Syarikat kami berkembang maju dan terkenal di seluruh Asia,"['syarikat', 'kembang', 'maju', 'kenal', 'orang asia']",statement
9," Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat","['nama', 'bos', 'syarikat', 'butseb', 'khas', 'baik', 'segi', 'hasil', 'produk', 'pasu', 'baik', 'urus', 'syarikat']",statement
10," Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat","['orang utan', 'laku', 'syarikat']",statement
11, Pasti mereka akan terkejut,['kejut'],statement
12," Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata","['jaya', 'rekod', 'canang', 'orang utan', 'dusta']",statement
13, Tiada yang benar langsung,"['tiada', 'cara langsung']",statement
14, Aku jadi staf pun malu sebenarnya,"['kakitangan', 'malu']",statement
15, Malu giler kalau orang tahu,"['malu', 'giler', 'orang utan']",statement
16,Bos aku ni sangat sibuk,"['bos', 'ni', 'sibuk']",statement
17," Bagi dia, hidup perlu sentiasa bekerja","['hidup', 'selalu']",risk factor
18, Tiada rehat,"['tiada', 'rehat']",statement
19, Itulah yang diterapkan kepada kami,['terap'],statement
20, Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,"['pantang', 'kakitangan', 'telefon bimbit', 'tu', 'tidur']",risk factor
