,Text
0,Bos aku seorang founder produk
1, Syarikatnya besar juga
2, Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan
3,Bos aku ni kategori Islamik sikit
4, Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja
5," Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar"
6,Bos aku dipandang tinggi oleh masyarakat
7, Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat
8, Syarikat kami berkembang maju dan terkenal di seluruh Asia
9," Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat"
10," Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat"
11, Pasti mereka akan terkejut
12," Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata"
13, Tiada yang benar langsung
14, Aku jadi staf pun malu sebenarnya
15, Malu giler kalau orang tahu
16,Bos aku ni sangat sibuk
17," Bagi dia, hidup perlu sentiasa bekerja"
18, Tiada rehat
19, Itulah yang diterapkan kepada kami
20, Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur
21," Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari"
22,Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang
23, Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad
24, Apatah lagi semasa Public Holiday
25," Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report"
26, Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family
27," Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya"
28, Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia
29,"Semenjak bekerja dengan syarikat ni, aku diserang stress dan depression kerana sikap bos yang buruk"
30," Ia sampai jadi tahap, aku takut dengar telefon berdering, cepat-cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari marathon"
31," Kalau dengar bunyi whatsapp masuk pun, jantung aku berdebar-debar kencang"
32, Takut sangat kena marah
33, Takut sangat ada report yang salah atau task yang tak buat
34,Sudah 2 tahun aku tak bercuti
35," Ya, aku memang ada dapat Annual Leave"
36, Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil
37," Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik"
38, Siap kena warning supaya tak buat lagi
39, Oh ya! Warning letter ni adalah makanan harian bos aku
40," Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR"
41," Setakat ni, itulah medal dan rekod kejayaan aku sepanjang bekerja di syarikat ni"
42,"Semenjak tu, aku dah pasrah"
43, Tak berani nak ambil cuti langsung
44," Walaupun ada kecemasan dalam keluarga, semuanya aku serahkan kepada adik beradik untuk uruskan"
45," Bayangkan la, nak masak atau nak ke toilet pun aku takut"
46," Sudah beberapa tahun ni, aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak, aku tak dengar bos call atau tiba-tiba bos nak buat meeting"
47, Aku rasa hidup aku sangat pathetic
48," Sedih!Kenapa aku tak tinggalkan je syarikat ni? Jangan risau, aku tetap akan tinggalkan syarikat ni suatu hari nanti"
49, Tetapi selepas aku berjaya capai impian aku
50," Buat sementara ni, aku terpaksa bertahan"
51, Impian aku insyaAllah akan dapat dicapai dalam sedikit masa lagi
52, Banyak sudah kezaliman yang bos dah buat terhadap aku
53," Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku"
54,"Aku tak pernah MC, tak pernah EL"
55, Bekerja 24/7 365
56, Aku demam pun masih masuk office dan tak berani pergi klinik untuk ambil ubat
57," Bukan aku saja, malah staf yang lain pun sama"
58," Kalau MC, tetap kena buat kerja walau apa cara sekalipun"
59, Aku rasa aku staf yang baik
60, Tapi masih tak cukup bagus untuk dia
61, Aku sangat komited dengan kerjaya dan aku tinggalkan keluarga aku demi keluarga dia
62, Bos aku sangat family oriented
63," Family oriented bos aku ni bermaksud, staf adalah hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia"
64," Kalau ada yang tak hadir, siaplah, kena marah"
65,Gaji? Kat sini gaji basic saja
66, Double pay atau triple pay jika bekerja semasa cuti atau selepas working hours tu memang tak wujud dalam kamus syarikat ni
67," Kalau minta, memang kena reject saja"
68," Paling best, sampai sekarang aku takde offer letter"
69, Amacam?Korang doakanlah aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang
70, Aku bertahan ni pun sebab nak gaji yang seciput tu je
71, Sambil cari lubang kerja lain
72," Bos aku cakap, kalau nak cari kerja di musim COVID ni, memang payah"
73," Tapi aku percaya, Allah kan Maha Memberi Rezeki"
74," InsyaAllah, aku juga percaya, Allah akan balas kezaliman bos terhadap kami ni sooner or sooner"
75," Hakikatnya, ia dah pun berlaku terhadap syarikat ni"
76, Aku sangat bersyukur
77," Dengan setiap cabaran yang bos dan syarikat tanggung sekarang, bos dah mula tahu bercakap guna bahasa yang baik dan belajar minta maaf dengan kami"
78, Cuma dia masih tak boleh buang tabiat buruk bab menipu kepada masyarakat
79," Kalau sebelum ni, maki hamun adalah zikir harian dia kepada kami"
80," Setakat ayat “bodoh”, “takde otak”, “pemalas” tu, bagi aku ayat biasa macam mak-mak pujuk anak nak tidur"
81, Dah lali
82,
83,"Banyak nak ceritakan, tapi aku bukan seorang yang pandai mengarang"
84," Aku ini seorang yang pendiam, jarang berbual kecuali dengan orang yang rapat"
85, Aku ibu dengan 4 orang anak
