,Text,Label
0,Depression with suicidal thought,non-deppressive
1," Ya, itu yang aku hadapi sejak di zaman sekolah rendah…Ibu ku seorang yang garang, kalau di katanya A, A lah jadinya",risk factor
2, Di depan matanya aku kena perfect tak boleh buat silap,risk factor
3," Aku pernah minum air sabun basuh, disebabkan tekanan selalu dicubit dirotan dimarahnya",symptom
4,Aku rasakan diri aku tak berguna dalam dunia ni,symptom
5," Aku jenis tak suka berkawan ramai, dan aku lebih suka menyendiri",symptom
6,"Depresi aku menjadi-jadi bila aku sudah berada di universiti, pernah aku makan berpapan-papan panadol dan ubat yang aku jumpa, tapi nyawa aku masih panjang, aku sedar selepas 2 harinya",symptom
7," Ya aku tinggal sendiri di hostel, tiada roomate",non-deppressive
8,"Terkadang aku hiris-hiris pergelangan tangan, berbekas, berparut tapi tiada siapa yang tahu, ada pun classmate bertanya apabila ternampak lengan baju aku terselak, aku katakan tiada apa, aku beri alasan yang aku lap cermin tingkap bilik buatkan lengan calar balar",symptom
9,"Dan waktu ini pun aku masih berperang dengan diri aku sendiri, kini aku sudah berkahwin, punyai seorang anak,Waktu sarat mengandung aku pernah menggantung diri, tapi masih juga takdir aku bernafas, kerana tepat pada waktu suami aku balik dan pecahkan pintu bilik untuk selamatkan aku",symptom
10,"Keluarga aku tak tahu aku punyai depresi yang sanggup mencederakan diri, hanya suami aku sahaja mengetahuinya",symptom
11,"Pernah juga waktu aku susah tidur malam, termenung sendiri di tingkap, merenung kebawah dan terdetik “kalau aku terjun ni, mesti lega kepala aku”",symptom
12,"Sewaktu aku terdetik itulah, tiba-tiba aku dengar suara ketawa datang dari phone aku",symptom
13, Tak pernah pula phone aku jammed atau hang,non-deppressive
14," Kejadian tu berlaku pada tepat pukul 3 pagi, bila phone dibuka dan aku cari punca suara, tiada pun aku jumpa",non-deppressive
15,"Aku berkhayal? Tidak sesekali, kerana aku sempat merakamnya dengan duty phone aku yang lainnya dan tunjukkan pada suamiku",non-deppressive
16, Suamiku hanya diamkan diri,non-deppressive
17,"Selepas kejadian cubaan menggantung diri, suami aku jadi takut untuk menyakiti perasaan aku, dia paling takut kalau aku mula menangis",non-deppressive
18,"Untuk pengetahuan kalian, Aku bekerja dari rumah sebagai Customer service",non-deppressive
19," Siang harinya aku habiskan masa menguruskan hal-hal rumahtangga, malam pula bekerja melayan complaint dan inquiry",non-deppressive
20,"Namun, terkadang aku terpaksa buat double shift, dari 9 pagi ke 12 malam, disebabkan staff shift siangnya punyai attitude ‘suka-suka cuti’, ibu-ibu yang bekerja dari rumah dan menjaga anak mesti faham betapa letihnya bila melakukan 2 kerja dalam 1 masa",risk factor
21,"  Walaupun aku stress begini, tak pernah aku lepaskan pada anak kesayangan aku, bagi aku, dia lah sumber kekuatan aku waktu ni",non-deppressive
22,Dia lah yang sedikit sebanyak bantu aku lawan monster yang ada dalam diri aku,non-deppressive
23," Selain dia, tiada lagi, kebanyakan hanya menjadi trigger kepada rasa aku ingin ‘pergi’ awal",non-deppressive
24,"Depresi adalah satu penyakit, bukan di buat-buat",non-deppressive
25, Hanya diri kita sendiri sahaja yang mampu melawan,non-deppressive
26, Andai kalian punyai teman yang cuba bercerita kepada kalian berkaitan stress dan tekanan yang mereka hadapi,non-deppressive
27,"Janganlah pula kalian menangkisnya dengan nasihat-nasihat keagamaan, kerana orang-orang depresi seperti kami ni pun ‘cukup solat 5 waktunya’ macam kalian",non-deppressive
28,Kami hanyalah ingin meminjam sedikit masa kalian untuk meluah rasa beban di hati dan kepala,non-deppressive
29," Cukuplah kalian mendengar dan bertanya khabar kami seterusnya, barulah kami terasa kami ini ‘wujud’ di muka bumi ini",non-deppressive
30,"Aku juga berharap, orang-orang kita lebih peka dan empathy pada orang sekelilingnya",non-deppressive
31,"Contohnya orang yang suka-suka cuti dan meninggalkan beban kepada orang lainnya, orang yang menambah beban kerja tetapi mengurangkan gajinya,Orang yang terlalu fussy, punya expectation terlalu tinggi dan meletakkan kesalahan dan tanggungjawab kepada orang lain kalau tak tercapai expectationnya,Orang yang mulut lepas tak menyempat beli penapis, orang yang pemalas, tak mahu membaca arahan yang diberikan tapi mengharap semua maklumat di suap sampai ke akhirnya",non-deppressive
32,"Orang yang tiada perancangan awal, rancangan last minute yang menyusahkan orang lainnya",non-deppressive
33," Orang yang jenis tidur lewat, dan menganggap orang lain juga tidur pada waktu yang sama dengannya",non-deppressive
34,"Last but not least, Orang yang menganggap orang lain 24 jam celik tanpa perlu tidur",non-deppressive
35, Ya ini contoh sahaja,non-deppressive
36, Sekian,non-deppressive
37,– John Doe (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc,non-deppressive
38, com/submit,non-deppressive
