,Text
0,  Saya merupakan seorang bekas doktor pelatih (houseman).
1,Cerita ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua.
2,"Cerita ini mungkin panjang berjela, mohon dibaca sewaktu lapang dan maaf sekiranya ada kekurangan dari segi bahasa atau terlepas pandang."
3,Saya mula bekerja sebagai doktor pelatih pada November 2018.
4,"Waktu tu, saya memulakan tagging (tempoh waktu para pelatih menyesuaikan diri dengan sistem kerja di wad)."
5,"Pelbagai prosedur, sistem, cara merujuk kes mesti dipelajari dengan cepat agar pantas menyesuaikan diri."
6,Alhamdulillah para senior banyak membantu.
7,Saya masuk kerja pukul 6am dan balik 10pm untuk 2 minggu berturut ( balik kerja pukul 5pm pada hujung minggu).
8,Saya menetap di hostel hospital jadi nak pergi wad jalan kaki je.
9,Semuanya ok pada mulanya tetapi pada minggu kedua saya mula berasa kelainan pada diri saya.
10,"Sewaktu saya tidur pada malamnya, saya tiba tiba terjaga pukul 3am dan tak boleh sambung tidur."
11,"Esoknya saya perlu masuk kerja pukul 6am, membuatkan saya stcress dan akhirnya saya menangis."
12,Mungkin terlalu penat tetapi saya mulanya anggap ini perkara biasa.
13,Tetapi malam itu menjadi kemuncak tekanan.
14,"Saya buat solat sunat, cuba untuk menenangkan diri dan saya mengambil keputusan untuk memanggil Befrienders KL."
15,"Ia merupakan sebuah organisasi yang mendengar masalah dan isu para pemanggil, terutamanya kemurungan dan suicidal thoughts."
16,"Yelah, nak call orang lain pun, semua tengah tidur pukul 3 pagi."
17,Saya berbual dengan staf bertugas hampir sejam lamanya.
18,Alhamdulillah stafnya sangat lembut dan baik.
19,Beliau bertanya 1.
20,Boleh ceritakan apa yang terjadi 2.
21,Apa punca kepada isu ini 3.
22,"Apa yang boleh saya lakukan – jujurnya waktu tu memang hanya nak berbual dengan seseorang, untuk lepaskan tekanan."
23,Tetapi pada masa yang sama saya terfikir untuk hadir ke klinik Psikiatrik untuk mengetahui sekiranya saya depressed.
24,Staf tersebut memberi saya nombor telefon klinik psikiatrik.
25,"Selepas berbual, saya rasa lebih lega tetapi saya tetap mengambil keputusan untuk hadir ke klinik Psikiatri."
26,Klinik Psikiatri di hospital saya boleh walk-in pada waktu pagi.
27,"Di sana, saya berjumpa doktor dan menceritakan masalah saya."
28,"Badan terasa letih, berat dan minda tidak dapat fokus kepada perbualan atau aktiviti."
29,Saya kurang suka melakukan aktiviti yang saya minati dahulu.
30,Saya kurang makan dan banyak termenung.
31,Fikiran saya selalu berfikir perkara negatif.
32,"Setelah diamati, rupanya saya telah mengalami simptom ini sejak seminggu lepas, tetapi saya kurang ambil peduli dan fikir “biasalah baru mula kerja, penat tu biasa”."
33,Saya didiagnos sebagai Adjusment Disorder with depressive mood.
34,"Saya diberi ubat Lorazepam (benzodiazepine) untuk tidur dan Mirtazapine (antidepressant), diberi MC selama seminggu dan dirujuk ke pakar psikiatrik (Kes melibatkan houseman dirujuk ke pakar)."
35,Mulanya ingatkan dapatlah MC sehari dua je tapi tak sangka pula sampai seminggu.
36,Senior dan supervisor juga memahami situasi saya setelah saya bercerita kepada mereka dan saya cuba berehat dan muhasabah.
37,Saya dapat tidur dengan bantuan ubat tetapi mood dan emosi saya masih depressed.
