raw text,type
"  Tapi response dia """"try to think positive"""" , """" cuba ingat Tuhan"""" , """"Aku pon lalui benda macam kau,  lagi teruk drpd kau lagi"""" ",3
 Aku boleh buktikan pada dia yang aku mampu berjaya tapi aku tak mampu nak dapatkan perhatian dia dan kasih sayang dia,2
 Aku cakap â€œI think of patternsâ€¦â€ belum sempat aku habiskan ayat ni doktor ni potong cakap aku dan dengan penuh kekerekkan beliau berkata â€œare you trying to diagnose yourself? I do the diagnosis here okâ€ dan dia pun diagnose aku dengan poor sleep hygiene dan aku hanya stress dan bukan depressed,3
 Aku cuba buat rayuan dan keputusan still sama aku gagal,3
 Aku ikut segala nasihat dan saranan doktor ni tapi aku jadi lagi teruk,3
 Aku lambat faham dan selalu rasa ketinggalan,3
 Aku tak pernah dapat A pun apa apa subjek sehingga dipanggil bodoh oleh rakan sekelas,2
" Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik",3
" Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR",3
 Assignment baru ini telah menyebabkan ramai rakan rakan kerja sejawatan dan rakan rakan lain telah ambil keputusan untuk berhenti dan menukar kerja ke jabatan lain ataupun ke syarikat lain,3
 Badan akan rasa panas sejuk tetapi bukan demam,4
" Bagi dia, hidup perlu sentiasa bekerja",3
" Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari",3
 Bagi saya punca utama terjadinya kemurungan ini adalah pada waktu saya sedang sarat mengandung suami saya selalu mencari peluang untuk bermesej dengan kawan kawan perempuannya,2
 Banyak sudah kezaliman yang bos dah buat terhadap aku,3
" Bila ditambah dengan tekanan dari keluarga, selalu menekan aku",2
 Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family,3
 Bukannya toxic sangat tp lebih kepada berat sebelah,2
 Dalam masa tersebut saya terlalu faham bahawa bukan mudah untuk memjaga orang yang sakit terlantar,4
 Dalam sebulan tu jgak wifi universiti tak boleh nak connect dengan laptop aku,3
 Dan tu adalah pengalaman cpr kali kedua untuk saya,1
 dan waktu solat sentiasa delayâ€¦ kadang kadang siap kena qodaâ€™ sebab berada dalam meeting,3
" Dengan suasana yg x brp kondusif, bilik sendiri pon xde, line yg kdg2 mcm tau2 jaa ada kelas, time tu jgak dia nak main2 manja menghilang, and etc and yg paling aku takut it could lead to stress n depression sbb skrg aku rasa mcm aku ada simptom2 ke arah tu ðŸ™‚",3
 Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia,3
 Dia akan memusingkan perkara tu seperti semuanya salah aku,2
" Dia buat endah tak endah pada aku, dan bila aku bertanyakan soalan",2
 Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,3
 Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad,3
" Dia yang tak pernah tunjuk penatnya, menangis melihat saya diserang sawan",2
" Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku",3
