,raw text,clean text
0,Bos aku seorang founder produk,bos aku seorang pengasas produk
1, Syarikatnya besar juga,syarikat besar juga
2, Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan,bos aku ini kira seorang yang sangat berjaya sebab ada banyak syarikat yang dia urus
3,Bos aku ni kategori Islamik sikit,bos aku ini kategori islamik sikit
4, Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja,setiap hari kami semua diterap deng ajar islam melalui aktiviti hari sebelum memula kerja
5," Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar","kami baca doa , baca surah , diajar solat dhuha , diajar solat taubat , solat hajat dan pelbagai lagi ilmu keagama yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar"
6,Bos aku dipandang tinggi oleh masyarakat,bos aku dipandang tinggi oleh masyarakat
7, Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat,ramai pengasas lain berasa cemburu deng kejaya bos aku menterajui syarikat
8, Syarikat kami berkembang maju dan terkenal di seluruh Asia,syarikat kami berkembang maju dan terkenal di seluruh asia
9," Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat","nama bos dan syarikat kami sering disebut - sebut sebagai sebuah jenama terbaik bu sahaja dari segi penghasil produk , ma mempunyai pasu terbaik dalam mengurus syarikat"
10," Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat","tetapi , kalau orang luar tahu apa yang berlaku di dalam syarikat"
11, Pasti mereka akan terkejut,pasti mereka akan terkejut
12," Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata","sebab , setiap kejaya dan rekod yang dicanang kepada orang luar , semua ada dusta semata"
13, Tiada yang benar langsung,tiada yang benar langsung
14, Aku jadi staf pun malu sebenarnya,aku jadi staf pun malu sebenar
15, Malu giler kalau orang tahu,malu gi  kalau orang tahu
16,Bos aku ni sangat sibuk,bos aku ini sangat sibuk
17," Bagi dia, hidup perlu sentiasa bekerja","bagi dia , hidup perlu sentiasa bekerja"
18, Tiada rehat,tiada rehat
19, Itulah yang diterapkan kepada kami,itu yang diterap kepada kami
20, Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,dia cukup pantang kalau staf tidak jawab telefon walau masa itu ada waktu tidur
21," Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari","bagi dia , waktu tidur ha cukup dua - tiga jam sahaja setiap hari"
22,Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang,dia akan melenting kalau staf balik rumah selepas waktu kerja jam enam petang
23, Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad,dia juga akan sentiasa panggil dan whatsapp staf semasa hari cuti minggu sabtu dan ahad
24, Apatah lagi semasa Public Holiday,apa lagi semasa awam percuti
25," Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report","itu ada masa untuk bekerja , panggil mesyuarat dan suruh datang ke rumah hantar lapor"
26, Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family,bos akan membebel kalau staf nak ambil tahun pergi mahupun pergi percuti bersama keluarga
27," Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya","setiap kali dia membebel , aku akan rasa aku ini seorang yang ka yang te memmuflis syarikat sahaja gaya"
28, Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia,dia akan marah sesiapa sahaja di dep mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenar dia
29,"Semenjak bekerja dengan syarikat ni, aku diserang stress dan depression kerana sikap bos yang buruk","semenjak bekerja deng syarikat ini , aku diserang tres dan kemurung kerana sikap bos yang buruk"
30," Ia sampai jadi tahap, aku takut dengar telefon berdering, cepat-cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari marathon","ia sampai jadi tahap , aku takut dengar telefon berdering , cepat - cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari maraton"
