,raw text,category
0,Bos aku seorang founder produk,statement
1, Syarikatnya besar juga,statement
2, Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan,statement
3,Bos aku ni kategori Islamik sikit,statement
4, Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja,statement
5," Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar",statement
6,Bos aku dipandang tinggi oleh masyarakat,statement
7, Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat,statement
8, Syarikat kami berkembang maju dan terkenal di seluruh Asia,statement
9," Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat",statement
10," Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat",statement
11, Pasti mereka akan terkejut,statement
12," Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata",statement
13, Tiada yang benar langsung,statement
14, Aku jadi staf pun malu sebenarnya,statement
15, Malu giler kalau orang tahu,statement
16,Bos aku ni sangat sibuk,statement
17," Bagi dia, hidup perlu sentiasa bekerja",risk factor
18, Tiada rehat,statement
19, Itulah yang diterapkan kepada kami,statement
20, Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,risk factor
21," Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari",risk factor
22,Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang,risk factor
23, Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad,risk factor
24, Apatah lagi semasa Public Holiday,statement
25," Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report",risk factor
26, Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family,risk factor
27," Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya",symptom
28, Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia,risk factor
29,"Semenjak bekerja dengan syarikat ni, aku diserang stress dan depression kerana sikap bos yang buruk",symptom
30," Ia sampai jadi tahap, aku takut dengar telefon berdering, cepat-cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari marathon",symptom
31," Kalau dengar bunyi whatsapp masuk pun, jantung aku berdebar-debar kencang",symptom
32, Takut sangat kena marah,symptom
33, Takut sangat ada report yang salah atau task yang tak buat,symptom
34,Sudah 2 tahun aku tak bercuti,statement
35," Ya, aku memang ada dapat Annual Leave",statement
36, Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil,risk factor
37," Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik",risk factor
38, Siap kena warning supaya tak buat lagi,risk factor
39, Oh ya! Warning letter ni adalah makanan harian bos aku,risk factor
40," Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR",risk factor
