,Text,Preprocessed,Label
0,Assalamualaikum dan selamat sejahtera.,"['assalamualaikum', 'selamat', 'sejahtera']",non-deppressive
1,Ini adalah pertama kali aku tulis confession.,"['kali', 'aku', 'tulis', 'aku']",non-deppressive
2,"Sebelum aku bercerita lebih detail, biar la aku ceritakan latar belakang aku sikit2.Namaku Jaana.","['aku', 'cerita', 'perinci', 'biar', 'lah', 'aku', 'cerita', 'latar', 'belakang', 'aku', 'sikit', 'sikit', 'nama', 'jaana']",non-deppressive
3,Bukan Janna Nick ya.,"['janna', 'nick']",non-deppressive
4,"Umurku 37 tahun, ibu beranak 4.","['umur', 'tiga', 'puluh', 'tujuh', 'tahun', 'ibu', 'anak', 'empat']",non-deppressive
5,"Dan sekarang (Dec 2020), aku mengandung 5 bulan anak kelima.Aku telah 14 tahun bekerja di IPTS.","['sember', 'dua', 'ribu', 'dua', 'puluh', 'aku', 'kandung', 'lima', 'bulan', 'anak', 'lima', 'aku', 'empat', 'belas', 'tahun', 'kerja', 'ipts']",non-deppressive
6,3 tahun pertama bekerja di Bhg.,"['tiga', 'tahun', 'kerja', 'bhg']",non-deppressive
7,Hal Ehwal Pelajar (HEP).,"['hal', 'ehwal', 'ajar', 'hep']",non-deppressive
8,"Kemudian, bila nak berkahwin pada Nov 2009, aku mohon tukar department kerana di sini hampir setiap minggu ada aktiviti pelajar dan selalu outstation.Akhirnya, aku dapat tukar ke Bahagian Visa dan Pas Pelajar untuk pelajar antarabangsa.","['nak', 'berkahwin', 'aku', 'mohon', 'tukar', 'jabat', 'minggu', 'ada', 'aktiviti', 'ajar', 'tempat', 'tinggal', 'akhir', 'aku', 'tukar', 'bahagian', 'visa', 'pas', 'ajar', 'ajar', 'antarabangsa']",non-deppressive
9,Di sini aku bekerja selama 10 tahun.Walaupun di sini lebih sibuk dari Bhg.,"['aku', 'kerja', 'puluh', 'tahun', 'sibuk', 'bhg']",non-deppressive
10,"HEP, tetapi aku bahagia.","['hep', 'aku', 'bahagia']",symptom
11,"Tugasku mengurus permohonan visa dan pas pelajar untuk pelajar baru.Stress sikit2 berhadapan dengan pihak Imigresen, Kementerian Pendidikan Tinggi (KPT), Kementerian Dalam Negeri (KDN) tu ada la, dengan pelajar antarabangsa lagi yang banyak kerenah, tetapi aku ok je bekerja.","['tugas', 'urus', 'mohon', 'visa', 'pas', 'ajar', 'ajar', 'baru', 'stres', 'sikit', 'sikit', 'hadap', 'pihak', 'imigresen', 'menteri', 'didik', 'tinggi', 'kpt', 'menteri', 'negeri', 'kdn', 'ada', 'lah', 'ajar', 'antarabangsa', 'renah', 'aku', 'okey', 'kerja']",non-deppressive
12,"Mungkin kena dengan jiwa aku.Kemudian disebabkan trend kemasukan pelajar antarabangsa makin berkurangan secara keseluruhan termasuk di IPT lain, IPTS aku pun terlibat juga, pihak HR (Sumber Manusia) ingin mengurangkan staff di bhg.","['mungkin', 'kena', 'jiwa', 'aku', 'sebab', 'trend', 'masuk', 'ajar', 'antarabangsa', 'makin', 'rang', 'seluruh', 'ipt', 'ipts', 'aku', 'libat', 'pihak', 'hari', 'sumber', 'manusia', 'ingin', 'kurang', 'staf', 'bahang']",non-deppressive
13,"aku bekerja.Daripada 4 staff termasuk Pengurus, 2 orang Penolong Pengurus dikeluarkan/ dipindahkan (transfer) ke department lain.","['aku', 'kerja', 'empat', 'staf', 'urus', 'dua', 'tolong', 'urus', 'keluar', 'pindah', 'pindah', 'jabat']",non-deppressive
14,Aku salah seorang yang dipindahkan.,"['aku', 'salah', 'orang', 'pindah']",non-deppressive
15,"Jadi, bhg.",['bahang'],non-deppressive
16,"aku bekerja hanya tinggal 2 orang sahaja iaitu kerani dan Pengurus sahaja.Aku dipindahkan ke Fakulti pada Oktober 2019, ketika itu, aku mengandung 7 bulan, anak keempat.","['aku', 'kerja', 'tinggal', 'dua', 'kerani', 'urus', 'aku', 'pindah', 'fakulti', 'aku', 'kandung', 'tujuh', 'bulan', 'anak', 'empat']",non-deppressive
17,"Di sini aku banyak buat kerja2 admin.Takde la keluar selalu pergi imigresen, embassy, dll.","['aku', 'buat', 'kerja', 'kerja', 'admin', 'ada', 'lah', 'keluar', 'pergi', 'imigresen', 'duta', 'dll']",non-deppressive
